Материал;2025-04-02;2025-04-03;2025-04-04;2025-04-09;2025-04-10;2025-04-11;2025-04-12;2025-04-13;2025-04-14;2025-04-15;2025-04-16;2025-04-17;2025-04-19;2025-04-20;2025-04-21;2025-04-27;2025-04-28;2025-04-29;2025-04-30
Рулон г/к;;;;12,53;24,00;;;;;;;;;;;;;;
Рулон г/к травленный;;;;;7,27;24,00;24,00;;;;;;5,57;24,00;24,00;;;;
Рулон х/к АНО;;;;;;;;;;;;;;;;6,80;24,00;;
Рулон х/к дресс.;20,60;24,00;24,00;;6,51;15,23;23,55;24,00;24,00;24,00;16,87;24,00;;;;;;;
Рулон х/к с АНО;;;;;;;;;;;;;;;;;17,47;24,00;24,00
